symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous,fund_abs90,gross_pess,net_pess,R_pess,Rgross_pess,gross_opt,net_opt,R_opt,Rgross_opt,gross_4h,net_4h,R_4h,Rgross_4h,sig_date,hold_h
GALAUSDT,1731211200000,1731225600000,1731312000000,0.02398,0.0007492857142857,0.0312462766591207,0.0232307142857142,0.0269771428571428,0.02534,TIME,0.02534,TIME,0.02534,TIME,0.000853,3,True,0,1.0,0.498,1.1592777642238554,0.1984007996001999,74814359.04651102,False,8.839111111111112e-05,0.056713928273561365,0.05386092827356136,1.7237550848427092,1.8150619637750256,0.056713928273561365,0.05386092827356136,1.7237550848427092,1.8150619637750256,0.056713928273561365,0.05386092827356136,1.7237550848427092,1.8150619637750256,2024-11-10,24.0
GALAUSDT,1737144000000,1737158400000,1737172800000,0.04116,0.0015264285714285,0.0370852422601694,0.0396335714285714,0.0472657142857142,0.0396335714285714,SL,0.0396335714285714,SL,0.0396335714285714,SL,0.0,0,True,0,1.0,0.3,1.126563885055923,0.028735632183908,175549036.15432933,False,0.0001392917407407,-0.03708524226017007,-0.03908524226017007,-1.0539298081422737,-1.0000000000000182,-0.03708524226017007,-0.03908524226017007,-1.0539298081422737,-1.0000000000000182,-0.03708524226017007,-0.03908524226017007,-1.0539298081422737,-1.0000000000000182,2025-01-17,4.0
GALAUSDT,1746662400000,1746676800000,1746741600000,0.01599,0.0004571428571428,0.0285892968819798,0.0155328571428571,0.0178185714285714,0.0178185714285714,TP,0.0178185714285714,TP,0.0178185714285714,TP,0.0001736099999999,2,True,0,1.0,0.344,1.0212930334607395,0.1837037037037037,47445670.666574,False,7.848377777777778e-05,0.11435718752791724,0.11218357752791734,3.9239711977186853,3.9999999999999316,0.11435718752791724,0.11218357752791734,3.9239711977186853,3.9999999999999316,0.11435718752791724,0.11218357752791734,3.9239711977186853,3.9999999999999316,2025-05-08,18.0
GALAUSDT,1746676800000,1746691200000,1746741600000,0.01616,0.0004457142857142,0.0275813295615275,0.0157142857142857,0.0179428571428571,0.0179428571428571,TP,0.0179428571428571,TP,0.0179428571428571,TP,0.0001736099999999,2,True,0,1.0,0.298,1.0249374472867705,0.2151993980436419,47542841.179784,False,7.848377777777778e-05,0.1103253182461077,0.1081517082461078,3.9211927041024843,3.9999999999999165,0.1103253182461077,0.1081517082461078,3.9211927041024843,3.9999999999999165,0.1103253182461077,0.1081517082461078,3.9211927041024843,3.9999999999999165,2025-05-08,14.0
GALAUSDT,1746705600000,1746720000000,1746777600000,0.01684,0.0004807142857142,0.0285459789616559,0.0163592857142857,0.0187628571428571,0.0187628571428571,TP,0.0187628571428571,TP,0.0187628571428571,TP,0.0002,2,True,0,1.0,0.346,1.031106668376253,0.2567164179104477,47746435.55514534,False,7.807162962962962e-05,0.11418391584662091,0.1119839158466209,3.9229313521544373,3.999999999999906,0.11418391584662091,0.1119839158466209,3.9229313521544373,3.999999999999906,0.11418391584662091,0.1119839158466209,3.9229313521544373,3.999999999999906,2025-05-08,16.0
GALAUSDT,1746720000000,1746734400000,1746777600000,0.01722,0.0004692857142857,0.0272523643603782,0.0167507142857142,0.0190971428571428,0.0190971428571428,TP,0.0190971428571428,TP,0.0190971428571428,TP,0.0001,1,True,0,1.0,0.286,1.0234961698109213,0.340077821011673,47702663.951981,False,7.807162962962962e-05,0.10900945744150992,0.10690945744150991,3.9229424657533185,3.999999999999894,0.10900945744150992,0.10690945744150991,3.9229424657533185,3.999999999999894,0.10900945744150992,0.10690945744150991,3.9229424657533185,3.999999999999894,2025-05-08,12.0
GALAUSDT,1746734400000,1746748800000,1746835200000,0.01781,0.0005071428571428,0.0284751744605759,0.0173028571428571,0.0198385714285714,0.01962,TIME,0.01962,TIME,0.01962,TIME,0.0003,3,True,0,1.0,0.344,1.0424590344576834,0.4020456333595592,48014559.94881,False,7.828466666666667e-05,0.10162829870859058,0.09932829870859058,3.4882419718309854,3.5690140845070415,0.10162829870859058,0.09932829870859058,3.4882419718309854,3.5690140845070415,0.10162829870859058,0.09932829870859058,3.4882419718309854,3.5690140845070415,2025-05-08,24.0
GALAUSDT,1746748800000,1746763200000,1746849600000,0.01808,0.0005214285714285,0.0288400758533501,0.0175585714285714,0.0201657142857142,0.01971,TIME,0.01971,TIME,0.01971,TIME,0.0003,3,True,0,1.0,0.362,1.0518661840012826,0.4386942675159235,47896084.251928665,False,7.828466666666667e-05,0.09015486725663724,0.08785486725663724,3.046277260273985,3.126027397260286,0.09015486725663724,0.08785486725663724,3.046277260273985,3.126027397260286,0.09015486725663724,0.08785486725663724,3.046277260273985,3.126027397260286,2025-05-09,24.0
GALAUSDT,1746763200000,1746777600000,1746864000000,0.01892,0.0005585714285714,0.0295228027786167,0.0183614285714285,0.0211542857142857,0.02023,TIME,0.02023,TIME,0.02023,TIME,0.0004,4,True,0,1.0,0.382,1.0983703128574076,0.450920245398773,48042628.180403,False,7.857755555555557e-05,0.06923890063424953,0.06683890063424953,2.263975447570337,2.345268542199493,0.06923890063424953,0.06683890063424953,2.263975447570337,2.345268542199493,0.06923890063424953,0.06683890063424953,2.263975447570337,2.345268542199493,2025-05-09,24.0
GALAUSDT,1746777600000,1746792000000,1746878400000,0.01929,0.0006028571428571,0.0312523143005258,0.0186871428571428,0.0217014285714285,0.0198,TIME,0.0198,TIME,0.0198,TIME,0.0003,3,True,0,1.0,0.492,1.0933317051131617,0.5050741608118656,48813021.18900433,False,7.857755555555557e-05,0.026438569206842955,0.02413856920684295,0.7723770142180105,0.8459715639810438,0.026438569206842955,0.02413856920684295,0.7723770142180105,0.8459715639810438,0.026438569206842955,0.02413856920684295,0.7723770142180105,0.8459715639810438,2025-05-09,24.0
